Tanggal,Actual,Forecast_ARIMAX
2025-10-01,16605.0,16661.08326054171
2025-10-02,16585.0,16664.168699987113
2025-10-03,16535.0,16664.99084596646
2025-10-06,16550.0,16665.139009072656
2025-10-07,16540.0,16666.531448252357
2025-10-08,16560.0,16666.861068285943
2025-10-09,16545.0,16669.562589584642
2025-10-10,16550.0,16674.156447411795
2025-10-13,16560.0,16674.75825283646
2025-10-14,16575.0,16677.330162044167
2025-10-15,16565.0,16679.31881684242
2025-10-16,16570.0,16681.78703637734
2025-10-17,16580.0,16682.855445329566
2025-10-20,16575.0,16684.753371664126
2025-10-21,16590.0,16685.92547028915
2025-10-22,16575.0,16685.73664195877
2025-10-23,16620.0,16683.137028735986
2025-10-24,16595.0,16684.62019637938
2025-10-27,16615.0,16685.442342358725
2025-10-28,16605.0,16688.390126630307
2025-10-29,16615.0,16689.082660518663
2025-10-30,16640.0,16690.345487607374
2025-10-31,16630.0,16691.621275905185
2025-11-03,16655.0,16693.22109443047
2025-11-04,16697.0,16695.170865601427
2025-11-05,16705.0,16697.72981360004
2025-11-06,16694.0,16699.277787288927
2025-11-07,16684.5,16700.320273822956
2025-11-10,16650.0,16701.129458593205
2025-11-11,16685.0,16701.07024235382
2025-11-12,16697.0,16705.612255344575
2025-11-13,16725.0,16706.589935833108
2025-11-14,16694.0,16706.16780573895
2025-11-17,16725.0,16708.350878673693
2025-11-18,16740.0,16708.848994425563
2025-11-19,16692.5,16712.068964088223
2025-11-20,16730.0,16713.694705031707
2025-11-21,16694.0,16716.175885775723
2025-11-24,16692.5,16715.68894963607
2025-11-25,16660.0,16718.209014007385
2025-11-26,16660.0,16718.733052177453
2025-11-27,16640.0,16719.82738354788
2025-11-28,16655.0,16721.375357236768
2025-12-01,16655.0,16722.78075762557
2025-12-02,16620.0,16725.080481442197
2025-12-03,16620.0,16726.161851603523
2025-12-04,16645.0,16726.763657028187
2025-12-05,16640.0,16727.49507454384
2025-12-08,16690.0,16730.494703651817
2025-12-09,16665.0,16732.574086913766
2025-12-10,16685.0,16733.590651029597
2025-12-11,16670.0,16736.162560237306
2025-12-12,16640.0,16737.73645634439
2025-12-15,16665.0,16739.828800815438
2025-12-16,16690.0,16743.320955869178
2025-12-17,16685.0,16743.70242073916
2025-12-18,16715.0,16744.887480573274
2025-12-19,16740.0,16745.411518743345
2025-12-22,16770.0,16745.33934129486
2025-12-23,16770.0,16746.329982992494
2025-12-24,16755.0,16747.78722821769
2025-12-26,16755.0,16750.657245234677
2025-12-29,16785.0,16750.338804813313
2025-12-30,16760.0,16751.731243993014
2025-12-31,16675.0,16754.484610128107
